txn_date,bank,type,total,success
2025-11-18,CONNECTION BANK,subscription_trans,1,0
2025-11-18,CONSUMERS CREDIT UNION,token_trans,1,1
2025-11-18,COVANTAGE CREDIT UNION,subscription_trans,1,1
2025-11-18,"CREDIT ONE BANK, NATIONAL ASSOCIATION",other_trans,1,1
2025-11-18,"CREDIT ONE BANK, NATIONAL ASSOCIATION",subscription_trans,1,1
2025-11-18,"CREDIT ONE BANK, NATIONAL ASSOCIATION",token_trans,1,1
2025-11-18,DIAMOND CREDIT UNION,subscription_trans,1,0
2025-11-18,DISCOVER ISSUER,other_trans,2,1
2025-11-18,DISCOVER ISSUER,subscription_trans,5,1
2025-11-18,DISCOVER ISSUER,token_trans,22,18
2025-11-18,EDUCATORS CREDIT UNION,subscription_trans,1,0
2025-11-18,FAIRWINDS CREDIT UNION,token_trans,5,1
2025-11-18,"FIDELITY INFORMATION SERVICES, INC.",subscription_trans,1,0
2025-11-18,"FIDELITY INFORMATION SERVICES, INC.",token_trans,2,2
2025-11-18,"FIFTH THIRD BANK, THE",token_trans,3,3
2025-11-18,FIRST BANK & TRUST,subscription_trans,1,1
2025-11-18,FIRST BANK & TRUST,token_trans,1,1
2025-11-18,FIRST MERCHANTS BANK,token_trans,9,9
2025-11-18,FIRST NATIONAL BANK OF OMAHA,first_trans,2,0
2025-11-18,FIRST NATIONAL BANK OF OMAHA,other_trans,1,1
2025-11-18,FIRST NATIONAL BANK OF OMAHA,subscription_trans,2,2
2025-11-18,FIRST NATIONAL BANK OF OMAHA,token_trans,5,5
2025-11-18,FIRST NATIONAL BANK TEXAS,token_trans,3,3
2025-11-18,FIRST PREMIER BANK,first_trans,1,1
2025-11-18,FIRST PREMIER BANK,token_trans,2,1
2025-11-18,FIRST UNITED BANK AND TRUST COMPANY,subscription_trans,1,0
2025-11-18,"FISERV SOLUTIONS, LLC",other_trans,1,1
2025-11-18,FLATWATER BANK,other_trans,3,3
2025-11-18,"FNB BANK, INC.",subscription_trans,1,0
2025-11-18,FROST BANK,token_trans,2,0
2025-11-18,"FULTON BANK, NATIONAL ASSOCIATION",token_trans,4,4
2025-11-18,GLACIER BANK,subscription_trans,2,1
2025-11-18,GLACIER BANK,token_trans,3,2
2025-11-18,GOLDEN PACIFIC BANK,token_trans,2,2
2025-11-18,GOLDMAN SACHS BANK USA,other_trans,12,12
2025-11-18,GREEN DOT BANK,other_trans,1,1
2025-11-18,GREEN DOT BANK DBA BONNEVILLE BANK,first_trans,2,2
2025-11-18,GREEN DOT BANK DBA BONNEVILLE BANK,other_trans,3,3
2025-11-18,GREEN DOT BANK DBA BONNEVILLE BANK,subscription_trans,1,0
2025-11-18,GREEN DOT BANK DBA BONNEVILLE BANK,token_trans,6,3
2025-11-18,HONDA FEDERAL CREDIT UNION,token_trans,5,5
2025-11-18,HUNTINGTON NATIONAL BANK,subscription_trans,1,0
2025-11-18,HUNTINGTON NATIONAL BANK,token_trans,1,1
2025-11-18,IDAHO CENTRAL CREDIT UNION,other_trans,1,1
2025-11-18,JACK HENRY & ASSOCIATES,first_trans,1,0
2025-11-18,JACK HENRY & ASSOCIATES,token_trans,1,1
2025-11-18,JPMORGAN CHASE BANK N.A.,first_trans,4,4
2025-11-18,JPMORGAN CHASE BANK N.A.,other_trans,2,1
2025-11-18,JPMORGAN CHASE BANK N.A.,subscription_trans,8,6
2025-11-18,JPMORGAN CHASE BANK N.A.,token_trans,38,34
2025-11-18,JPMORGAN CHASE BANK N.A. - DEBIT,first_trans,1,1
2025-11-18,JPMORGAN CHASE BANK N.A. - DEBIT,other_trans,1,1
2025-11-18,JPMORGAN CHASE BANK N.A. - DEBIT,subscription_trans,13,6
2025-11-18,JPMORGAN CHASE BANK N.A. - DEBIT,token_trans,10,10
2025-11-18,KEESLER FEDERAL CREDIT UNION,subscription_trans,1,1
2025-11-18,KEYBANK NATIONAL ASSOCIATION,first_trans,1,1
2025-11-18,KEYBANK NATIONAL ASSOCIATION,other_trans,1,1
2025-11-18,KEYBANK NATIONAL ASSOCIATION,token_trans,2,2
2025-11-18,KEYPOINT CREDIT UNION,subscription_trans,1,0
2025-11-18,KOHLER CREDIT UNION,token_trans,1,1
2025-11-18,L & N FEDERAL CREDIT UNION,subscription_trans,1,1
2025-11-18,"LAKE FOREST BANK & TRUST COMPANY, N.A.",subscription_trans,1,0
2025-11-18,LEGENDS WEST BANK,other_trans,1,0
2025-11-18,LISTERHILL CREDIT UNION,token_trans,4,2
2025-11-18,M&T BANK,subscription_trans,1,0
2025-11-18,MARINE FEDERAL CREDIT UNION,subscription_trans,1,0
2025-11-18,MERRICK BANK CORPORATION,first_trans,1,1
2025-11-18,MERRICK BANK CORPORATION,subscription_trans,1,0
2025-11-18,MERRICK BANK CORPORATION,token_trans,2,2
2025-11-18,MNB BANK,subscription_trans,1,0
2025-11-18,MORGAN STANLEY PRIVATE BANK NA,token_trans,3,3
2025-11-18,MOUNTAIN AMERICA FEDERAL CREDIT UNION,token_trans,4,0
2025-11-18,NAVY FEDERAL CREDIT UNION,other_trans,1,1
2025-11-18,NAVY FEDERAL CREDIT UNION,token_trans,8,6
2025-11-18,NFCU,token_trans,6,6
2025-11-18,NICOLET NATIONAL BANK,token_trans,3,3
2025-11-18,OMEGA FEDERAL CREDIT UNION,token_trans,1,1
2025-11-18,ONPOINT COMMUNITY CREDIT UNION,subscription_trans,1,1
2025-11-18,OREGON COMMUNITY CREDIT UNION,subscription_trans,1,1
2025-11-18,"PATHWARD, N.A.",first_trans,1,1
2025-11-18,"PATRIOT BANK, NATIONAL ASSOCIATION",other_trans,2,1
2025-11-18,"PATRIOT BANK, NATIONAL ASSOCIATION",token_trans,1,1
2025-11-18,PEAPACK-GLADSTONE BANK,other_trans,1,1
2025-11-18,PEOPLE DRIVEN CREDIT UNION,subscription_trans,1,1
2025-11-18,PIONEER FEDERAL CREDIT UNION,subscription_trans,1,0
2025-11-18,"PNC BANK, NATIONAL ASSOCIATION",subscription_trans,1,1
2025-11-18,"PNC BANK, NATIONAL ASSOCIATION",token_trans,6,5
2025-11-18,PSCU INCORPORATED,token_trans,1,1
2025-11-18,PUEBLO GOVERNMENT AGENCIES FEDERAL CREDIT UNION,other_trans,2,2
2025-11-18,RANDOLPH BROOKS FEDERAL CREDIT UNION,token_trans,4,4
2025-11-18,REDWOOD CREDIT UNION,first_trans,1,0
2025-11-18,REGIONS BANK,first_trans,1,1
2025-11-18,REGIONS BANK,subscription_trans,2,1
2025-11-18,RENASANT BANK,token_trans,6,6
2025-11-18,RILEY FBR INC.,first_trans,1,0
2025-11-18,RIO GRANDE CREDIT UNION,token_trans,1,1
2025-11-18,ROGUE CREDIT UNION,subscription_trans,1,1
2025-11-18,ROYAL CREDIT UNION,subscription_trans,2,2
2025-11-18,"SANTANDER BANK, NA",subscription_trans,1,0
2025-11-18,SELCO COMMUNITY CREDIT UNION,first_trans,1,1
2025-11-18,SERVICE CREDIT UNION,other_trans,1,1
2025-11-18,SILVER STATE SCHOOLS CREDIT UNION,first_trans,1,1
2025-11-18,SIMMONS BANK,token_trans,1,1
2025-11-18,SOUND COMMUNITY BANK,token_trans,1,1
2025-11-18,SOUND CREDIT UNION,first_trans,1,1
2025-11-18,SOUND CREDIT UNION,subscription_trans,1,0
2025-11-18,SOUND CREDIT UNION,token_trans,1,1
2025-11-18,STOCKMAN BANK OF MONTANA,subscription_trans,1,0
2025-11-18,"STRIDE BANK, NATIONAL ASSOCIATION",subscription_trans,2,0
2025-11-18,SUNCOAST CREDIT UNION,subscription_trans,2,1
2025-11-18,SUTTON BANK,first_trans,2,0
2025-11-18,SUTTON BANK,other_trans,2,2
2025-11-18,SUTTON BANK,subscription_trans,1,1
2025-11-18,SYNCHRONY BANK,subscription_trans,3,1
2025-11-18,SYNCHRONY BANK,token_trans,11,9
2025-11-18,"TD BANK, NATIONAL ASSOCIATION",other_trans,6,4
2025-11-18,"TD BANK, NATIONAL ASSOCIATION",subscription_trans,2,0
2025-11-18,"TD BANK, NATIONAL ASSOCIATION",token_trans,21,19
2025-11-18,THE BANCORP BANK NATIONAL ASSOCIATION,first_trans,1,1
2025-11-18,THE BANCORP BANK NATIONAL ASSOCIATION,other_trans,1,1
2025-11-18,THE BANCORP BANK NATIONAL ASSOCIATION,subscription_trans,2,0
2025-11-18,THE BANCORP BANK NATIONAL ASSOCIATION,token_trans,2,2
2025-11-18,"THE BANCORP BANK, NATIONAL ASSOCIATION",first_trans,2,1
2025-11-18,"THE BANCORP BANK, NATIONAL ASSOCIATION",subscription_trans,8,2
2025-11-18,"THE BANCORP BANK, NATIONAL ASSOCIATION",token_trans,3,2
2025-11-18,THE BANK OF MISSOURI,other_trans,1,0
2025-11-18,THE SOUTHERN CREDIT UNION,token_trans,8,7
2025-11-18,"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK",token_trans,3,3
2025-11-18,TRAVIS CREDIT UNION,token_trans,2,2
2025-11-18,"TRELLANCE, INC.",other_trans,1,1
2025-11-18,TRUIST BANK,first_trans,1,1
2025-11-18,TRUIST BANK,subscription_trans,4,2
2025-11-18,TRUIST BANK,token_trans,6,6
2025-11-18,TRUIST BANK - CREDIT,subscription_trans,1,0
2025-11-18,TRUIST BANK - CREDIT,token_trans,1,1
2025-11-18,U.S. BANK NATIONAL ASSOCIATION,first_trans,1,1
2025-11-18,U.S. BANK NATIONAL ASSOCIATION,other_trans,2,0
2025-11-18,U.S. BANK NATIONAL ASSOCIATION,subscription_trans,3,2
2025-11-18,U.S. BANK NATIONAL ASSOCIATION,token_trans,7,6
2025-11-18,U.S. BANK NATIONAL ASSOCIATION-CREDIT,token_trans,15,15
2025-11-18,UNITED BANK & TRUST,token_trans,1,0
2025-11-18,UNITED HERITAGE CREDIT UNION,token_trans,1,1
2025-11-18,UNIVERSITY CREDIT UNION,other_trans,1,1
2025-11-18,UNIVERSITY FEDERAL CREDIT UNION,token_trans,2,2
2025-11-18,USAA FEDERAL SAVINGS BANK,first_trans,1,1
2025-11-18,USAA FEDERAL SAVINGS BANK,subscription_trans,1,1
2025-11-18,USAA FEDERAL SAVINGS BANK,token_trans,10,10
2025-11-18,USAA SAVINGS BANK,subscription_trans,1,0
2025-11-18,VANTAGE CREDIT UNION,other_trans,1,1
2025-11-18,"VARO BANK, NATIONAL ASSOCIATION",token_trans,2,1
2025-11-18,"VIRGINIA CREDIT UNION, INC.",token_trans,3,3
2025-11-18,VIRGINIA FEDERAL CREDIT UNION,first_trans,3,0
2025-11-18,VYSTAR CREDIT UNION,token_trans,5,5
2025-11-18,WEBBANK,token_trans,1,0
2025-11-18,"WELLS FARGO BANK, NATIONAL ASSOCIATION",first_trans,4,2
2025-11-18,"WELLS FARGO BANK, NATIONAL ASSOCIATION",subscription_trans,8,3
2025-11-18,"WELLS FARGO BANK, NATIONAL ASSOCIATION",token_trans,88,77
2025-11-18,WOODFOREST NATIONAL BANK,token_trans,4,3
2025-11-19,AMERICAN EXPRESS US CONSUMER,first_trans,1,0
2025-11-19,AMERICAN EXPRESS US CONSUMER,other_trans,1,1
2025-11-19,AMERICAN EXPRESS US CONSUMER,subscription_trans,3,1
2025-11-19,AMERICAN EXPRESS US CONSUMER,token_trans,73,62
2025-11-19,AMERIS BANK,other_trans,1,1
2025-11-19,"ASSOCIATED BANK, N.A.",other_trans,2,1
2025-11-19,ATLANTIC UNION BANK,token_trans,2,2
2025-11-19,BALTIMORE COUNTY EMPLOYEES FEDERAL CREDIT UNION,other_trans,3,3
2025-11-19,BANK OF AMERICA - COMMERCIAL CREDIT,subscription_trans,1,0
2025-11-19,BANK OF AMERICA - CONSUMER CREDIT,first_trans,2,0
2025-11-19,BANK OF AMERICA - CONSUMER CREDIT,other_trans,4,3
2025-11-19,BANK OF AMERICA - CONSUMER CREDIT,subscription_trans,3,3
2025-11-19,BANK OF AMERICA - CONSUMER CREDIT,token_trans,1,1
2025-11-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",first_trans,3,3
2025-11-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",other_trans,9,8
2025-11-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",subscription_trans,8,6
2025-11-19,"BANK OF AMERICA, NATIONAL ASSOCIATION",token_trans,39,38
2025-11-19,BANK OF HAWAII,subscription_trans,1,0
2025-11-19,"BANK OF MISSOURI, THE",first_trans,1,1
2025-11-19,"BANK OF MISSOURI, THE",other_trans,2,0
2025-11-19,"BANK OF MISSOURI, THE",subscription_trans,1,0
2025-11-19,BANK OZK,token_trans,10,10
2025-11-19,BANKERS' BANK OF THE WEST,first_trans,1,1
2025-11-19,BARCLAYS BANK DELAWARE,first_trans,1,1
2025-11-19,BARCLAYS BANK DELAWARE,token_trans,15,13
2025-11-19,BRANCH BANKING AND TRUST COMPANY,first_trans,1,0
2025-11-19,CAMPUS USA CREDIT UNION,first_trans,1,1
2025-11-19,"CAPITAL ONE, NATIONAL ASSOCIATION",first_trans,3,3
2025-11-19,"CAPITAL ONE, NATIONAL ASSOCIATION",other_trans,5,5
2025-11-19,"CAPITAL ONE, NATIONAL ASSOCIATION",subscription_trans,11,6
2025-11-19,"CAPITAL ONE, NATIONAL ASSOCIATION",token_trans,73,67
2025-11-19,CARD SERVICES FOR CREDIT UNIONS,other_trans,3,2
2025-11-19,CELTIC BANK,other_trans,1,1
2025-11-19,CENTRAL PACIFIC BANK,token_trans,2,2
2025-11-19,"CHASE BANK USA, N.A.",other_trans,1,0
2025-11-19,"CHASE BANK USA, N.A.",token_trans,5,5
2025-11-19,CITIBANK N.A.,first_trans,6,1
2025-11-19,CITIBANK N.A.,other_trans,1,1
2025-11-19,CITIBANK N.A.,subscription_trans,8,4
2025-11-19,CITIBANK N.A.,token_trans,37,24
2025-11-19,"CITIBANK, N.A.- COSTCO",first_trans,1,1
2025-11-19,"CITIBANK, N.A.- COSTCO",token_trans,13,10
2025-11-19,"CITIZENS BANK, N.A.",subscription_trans,1,1
2025-11-19,"CITIZENS BANK, N.A.",token_trans,1,1
2025-11-19,CITY NATIONAL BANK,token_trans,3,3
2025-11-19,"CNB BANK AND TRUST, N.A.",first_trans,1,1
2025-11-19,COASTAL COMMUNITY BANK,subscription_trans,1,0
2025-11-19,COMERICA BANK,first_trans,1,1
2025-11-19,COMERICA BANK,token_trans,1,1
2025-11-19,COMMUNITY FEDERAL SAVINGS BANK,other_trans,2,2
2025-11-19,COMMUNITYAMERICA CREDIT UNION,subscription_trans,1,1
2025-11-19,"COMPUTER SERVICES, INC.",subscription_trans,1,0
2025-11-19,CONNECTION BANK,subscription_trans,1,0
2025-11-19,CONSUMERS CREDIT UNION,token_trans,2,2
2025-11-19,CREDIT ONE BANK,subscription_trans,1,0
2025-11-19,"CREDIT ONE BANK, NATIONAL ASSOCIATION",token_trans,1,1
2025-11-19,DESERT FINANCIAL CREDIT UNION,subscription_trans,1,1
2025-11-19,DIAMOND CREDIT UNION,subscription_trans,1,0
2025-11-19,DISCOVER ISSUER,first_trans,2,1
2025-11-19,DISCOVER ISSUER,other_trans,2,2
2025-11-19,DISCOVER ISSUER,subscription_trans,6,1
2025-11-19,DISCOVER ISSUER,token_trans,14,7
2025-11-19,EAGLE ONE FEDERAL CREDIT UNION,subscription_trans,1,0
2025-11-19,EASTERN BANK,other_trans,1,1
2025-11-19,EASTERN BANK,token_trans,1,1
2025-11-19,EATON COMMUNITY BANK,other_trans,2,0
2025-11-19,EDUCATORS CREDIT UNION,subscription_trans,1,0
2025-11-19,ELKO FEDERAL CREDIT UNION,first_trans,1,1
2025-11-19,ELKO FEDERAL CREDIT UNION,token_trans,3,3
2025-11-19,FAIRWINDS CREDIT UNION,token_trans,1,1
2025-11-19,"FIDELITY BANK, THE",other_trans,2,2
2025-11-19,"FIDELITY INFORMATION SERVICES, INC.",first_trans,1,1
2025-11-19,"FIDELITY INFORMATION SERVICES, INC.",other_trans,2,0
2025-11-19,"FIDELITY INFORMATION SERVICES, INC.",subscription_trans,1,0
2025-11-19,"FIDELITY INFORMATION SERVICES, INC.",token_trans,9,6
2025-11-19,"FIFTH THIRD BANK, THE",token_trans,1,1
2025-11-19,FIRST CITIZENS NATIONAL BANK,token_trans,1,0
2025-11-19,FIRST COMMERCE CREDIT UNION,first_trans,2,0
2025-11-19,FIRST NATIONAL BANK & TRUST COMPANY,subscription_trans,1,1
2025-11-19,FIRST NATIONAL BANK OF OMAHA,first_trans,1,1
2025-11-19,FIRST NATIONAL BANK OF OMAHA,token_trans,14,13
2025-11-19,FIRST NATIONAL BANK OF PENNSYLVANIA,token_trans,1,1
2025-11-19,FIRST NATIONAL BANK TEXAS,token_trans,1,1
2025-11-19,FIRST PREMIER BANK,first_trans,2,0
2025-11-19,FIRST PREMIER BANK,subscription_trans,1,1
2025-11-19,FIRST SAVINGS BANK,subscription_trans,1,0
2025-11-19,FIRST STATE BANK AND TRUST COMPANY,first_trans,1,1
2025-11-19,FIRST STATE BANK AND TRUST COMPANY,other_trans,2,1
2025-11-19,FIRST TECHNOLOGY FEDERAL CREDIT UNION,first_trans,1,1
2025-11-19,FIRST TECHNOLOGY FEDERAL CREDIT UNION,token_trans,1,1
2025-11-19,FIRST UNITED BANK AND TRUST COMPANY,subscription_trans,1,0
2025-11-19,FIRST-CITIZENS BANK & TRUST COMPANY,subscription_trans,1,0
2025-11-19,FIRSTBANK,token_trans,3,3
2025-11-19,"FISERV SOLUTIONS, LLC",other_trans,9,7
2025-11-19,"FISERV SOLUTIONS, LLC",subscription_trans,1,0
2025-11-19,"FISERV TRANSACTION SERVICES, LLC",token_trans,1,0
2025-11-19,"FNB BANK, INC.",subscription_trans,1,0
2025-11-19,FOX COMMUNITIES CREDIT UNION,token_trans,1,1
2025-11-19,"FULTON BANK, NATIONAL ASSOCIATION",token_trans,3,3
2025-11-19,GEORGIA'S OWN CREDIT UNION,token_trans,1,1
2025-11-19,GLACIER BANK,subscription_trans,1,0
2025-11-19,GOLDEN PACIFIC BANK,subscription_trans,1,0
2025-11-19,GOLDEN PACIFIC BANK,token_trans,1,1
2025-11-19,GOLDMAN SACHS BANK USA,first_trans,2,2
2025-11-19,GOLDMAN SACHS BANK USA,other_trans,14,14
2025-11-19,GOLDMAN SACHS BANK USA,subscription_trans,1,1
2025-11-19,GREEN DOT BANK,other_trans,2,2
2025-11-19,GREEN DOT BANK DBA BONNEVILLE BANK,first_trans,6,2
2025-11-19,GREEN DOT BANK DBA BONNEVILLE BANK,other_trans,4,2
2025-11-19,GREEN DOT BANK DBA BONNEVILLE BANK,token_trans,1,1
2025-11-19,GREENSTATE CREDIT UNION,subscription_trans,1,1
2025-11-19,GUARANTY STATE BANK AND TRUST COMPANY,other_trans,2,1
2025-11-19,HANCOCK WHITNEY BANK,token_trans,3,3
2025-11-19,HUNTINGTON NATIONAL BANK,subscription_trans,1,0
2025-11-19,JPMORGAN CHASE BANK N.A.,first_trans,1,1
2025-11-19,JPMORGAN CHASE BANK N.A.,other_trans,3,2
2025-11-19,JPMORGAN CHASE BANK N.A.,subscription_trans,7,5
2025-11-19,JPMORGAN CHASE BANK N.A.,token_trans,62,55
2025-11-19,JPMORGAN CHASE BANK N.A. - DEBIT,first_trans,5,4
2025-11-19,JPMORGAN CHASE BANK N.A. - DEBIT,other_trans,3,3
2025-11-19,JPMORGAN CHASE BANK N.A. - DEBIT,subscription_trans,8,5
2025-11-19,JPMORGAN CHASE BANK N.A. - DEBIT,token_trans,17,16
2025-11-19,KEYBANK NATIONAL ASSOCIATION,token_trans,16,16
2025-11-19,KOHLER CREDIT UNION,token_trans,1,1
2025-11-19,L.A. HEALTHCARE FEDERAL CREDIT UNION,first_trans,1,1
2025-11-19,L.A. HEALTHCARE FEDERAL CREDIT UNION,other_trans,2,2
2025-11-19,"LAKE FOREST BANK & TRUST COMPANY, N.A.",subscription_trans,1,0
2025-11-19,LANDMARK CREDIT UNION,other_trans,1,0
2025-11-19,LIBERTY BANK,token_trans,1,1
2025-11-19,LISTERHILL CREDIT UNION,token_trans,1,1
2025-11-19,M&T BANK,subscription_trans,2,0
2025-11-19,MEMBERSALLIANCE CREDIT UNION,first_trans,1,1
2025-11-19,MERRICK BANK CORPORATION,other_trans,1,1
2025-11-19,MERRICK BANK CORPORATION,subscription_trans,2,0
2025-11-19,MERRICK BANK CORPORATION,token_trans,7,7
2025-11-19,MORGAN STANLEY PRIVATE BANK NA,first_trans,2,0
2025-11-19,MORGAN STANLEY PRIVATE BANK NA,token_trans,3,3
2025-11-19,MOUNTAIN AMERICA FEDERAL CREDIT UNION,subscription_trans,1,1
2025-11-19,MOUNTAIN AMERICA FEDERAL CREDIT UNION,token_trans,9,8
2025-11-19,"MVB BANK, INC",token_trans,1,1
2025-11-19,NAVY FEDERAL CREDIT UNION,token_trans,4,3
2025-11-19,NFCU,token_trans,5,5
2025-11-19,OLD SECOND NATIONAL BANK,first_trans,1,0
2025-11-19,"PATHWARD, N.A.",first_trans,1,1
2025-11-19,"PATHWARD, N.A.",subscription_trans,1,0
2025-11-19,"PATHWARD, N.A.",token_trans,5,5
2025-11-19,"PATHWARD, NATIONAL ASSOCIATION",subscription_trans,1,0
2025-11-19,PEAK CREDIT UNION,first_trans,1,1
2025-11-19,PEOPLESCHOICE CREDIT UNION,first_trans,1,1
2025-11-19,PEOPLESCHOICE CREDIT UNION,token_trans,3,1
2025-11-19,"PNC BANK, NATIONAL ASSOCIATION",other_trans,1,1
2025-11-19,"PNC BANK, NATIONAL ASSOCIATION",subscription_trans,3,3
2025-11-19,"PNC BANK, NATIONAL ASSOCIATION",token_trans,4,3
2025-11-19,"PNC BANK, NATIONAL ASSOCIATION - CONSUMER CREDIT",first_trans,1,1
2025-11-19,"PNC BANK, NATIONAL ASSOCIATION - CONSUMER CREDIT",token_trans,2,1
2025-11-19,PRIMEWAY FEDERAL CREDIT UNION,token_trans,1,1
2025-11-19,PSCU INCORPORATED,token_trans,2,2
2025-11-19,RANDOLPH BROOKS FEDERAL CREDIT UNION,token_trans,3,3
2025-11-19,REDSTONE FEDERAL CREDIT UNION,subscription_trans,1,0
2025-11-19,REDWOOD CREDIT UNION,subscription_trans,1,1
2025-11-19,RENASANT BANK,token_trans,7,7
2025-11-19,REPUBLIC BANK & TRUST COMPANY,first_trans,2,1
2025-11-19,REPUBLIC BANK & TRUST COMPANY,token_trans,1,1
2025-11-19,RIO GRANDE CREDIT UNION,token_trans,3,3
2025-11-19,ROBINS FINANCIAL CREDIT UNION,first_trans,1,1
2025-11-19,ROBINS FINANCIAL CREDIT UNION,token_trans,2,2
2025-11-19,S&T BANK,token_trans,1,1
2025-11-19,"SANTANDER BANK, NA",subscription_trans,1,0
2025-11-19,SCENIC COMMUNITY CREDIT UNION,subscription_trans,1,0
2025-11-19,SPOKANE TEACHERS CREDIT UNION,token_trans,2,2
2025-11-19,STATE EMPLOYEES' CREDIT UNION,first_trans,1,0
2025-11-19,STOCKMAN BANK OF MONTANA,subscription_trans,1,0
2025-11-19,"STRIDE BANK, NATIONAL ASSOCIATION",subscription_trans,2,0
2025-11-19,SUNCOAST CREDIT UNION,subscription_trans,1,0
2025-11-19,SUTTON BANK,first_trans,1,0
2025-11-19,SUTTON BANK,other_trans,3,1
2025-11-19,SYNCHRONY BANK,first_trans,1,1
2025-11-19,SYNCHRONY BANK,other_trans,1,1
2025-11-19,SYNCHRONY BANK,subscription_trans,4,2
2025-11-19,SYNCHRONY BANK,token_trans,8,8
2025-11-19,"TD BANK, NATIONAL ASSOCIATION",other_trans,1,1
2025-11-19,"TD BANK, NATIONAL ASSOCIATION",subscription_trans,1,0
2025-11-19,"TD BANK, NATIONAL ASSOCIATION",token_trans,16,16
2025-11-19,"TEXANA BANK, NATIONAL ASSOCIATION",subscription_trans,1,0
2025-11-19,TEXAS TRUST CREDIT UNION,subscription_trans,1,0
2025-11-19,THE BANCORP BANK NATIONAL ASSOCIATION,subscription_trans,4,0
2025-11-19,THE BANCORP BANK NATIONAL ASSOCIATION,token_trans,4,4
2025-11-19,"THE BANCORP BANK, NATIONAL ASSOCIATION",first_trans,1,1
2025-11-19,"THE BANCORP BANK, NATIONAL ASSOCIATION",subscription_trans,4,0
2025-11-19,"THE BANCORP BANK, NATIONAL ASSOCIATION",token_trans,5,4
2025-11-19,THE FIRST BANK AND TRUST COMPANY,first_trans,1,0
